epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,678.969,1.49501,2.67251,1.65907,0.72865,0.73348,0.70618,0.45604,1.57504,1.9743,1.58778,0.00999342,0.00333114,0.00999342,0.00333114,0.00999342,0.00333114,0.00999342,0.00333114
2,1237.09,1.43117,1.99058,1.61655,0.74622,0.73157,0.70806,0.44508,1.58925,1.77621,1.64289,0.0197955,0.0065985,0.0197955,0.0065985,0.0197955,0.0065985,0.0197955,0.0065985
3,1810.47,1.49539,1.91947,1.68041,0.71377,0.71318,0.68304,0.42793,1.61668,1.89629,1.68265,0.0293996,0.00979985,0.0293996,0.00979985,0.0293996,0.00979985,0.0293996,0.00979985
4,2359.24,1.48297,1.86013,1.68917,0.76247,0.76858,0.74203,0.47533,1.51723,1.65684,1.59612,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2943.01,1.3967,1.72064,1.62474,0.79203,0.78687,0.77022,0.53408,1.41477,1.50015,1.51573,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3529.87,1.35621,1.62705,1.59007,0.8157,0.79421,0.79711,0.555,1.40166,1.44145,1.48815,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4107.24,1.30358,1.55083,1.55217,0.84095,0.7966,0.80865,0.56702,1.31905,1.35881,1.43495,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4709.32,1.28371,1.50382,1.53148,0.84702,0.81327,0.82187,0.59676,1.30003,1.29338,1.413,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5270.56,1.26105,1.45373,1.50705,0.85154,0.82446,0.83507,0.60379,1.2749,1.26466,1.38301,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5783.92,1.25028,1.43069,1.50118,0.85467,0.82595,0.84179,0.63844,1.25171,1.22305,1.37294,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6328.67,1.23202,1.40605,1.48663,0.86141,0.82774,0.84431,0.63594,1.25191,1.20113,1.36309,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6950.36,1.22206,1.37531,1.48101,0.87627,0.83837,0.85935,0.64848,1.19556,1.16618,1.32118,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,7583.39,1.20706,1.3555,1.46748,0.87151,0.84122,0.85777,0.64887,1.19494,1.13762,1.32153,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,8254.54,1.19703,1.32907,1.45784,0.88441,0.85116,0.87009,0.67274,1.18622,1.11175,1.31316,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,8828.84,1.18955,1.31189,1.45332,0.89007,0.85075,0.87274,0.67422,1.16746,1.09539,1.29317,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,9497.79,1.18362,1.30379,1.44652,0.89308,0.85436,0.87708,0.68102,1.15694,1.08484,1.28991,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,10158.4,1.17161,1.29107,1.44421,0.8956,0.85693,0.88258,0.68489,1.14578,1.05886,1.27646,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,10795.3,1.17225,1.28302,1.43678,0.89862,0.85969,0.88334,0.6876,1.1408,1.04376,1.27388,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,11382.2,1.15357,1.2618,1.42655,0.90112,0.86153,0.88647,0.70522,1.12089,1.03259,1.25797,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,11948.1,1.1479,1.24734,1.41963,0.89948,0.86669,0.89074,0.70468,1.11217,1.01462,1.25161,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,12541.9,1.14046,1.2341,1.41229,0.90793,0.86695,0.88983,0.71004,1.10112,1.00213,1.24312,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,13161.8,1.14032,1.23031,1.41209,0.90441,0.86998,0.89557,0.71513,1.10392,0.98666,1.24093,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,13816.9,1.13743,1.21213,1.40629,0.90362,0.87235,0.89589,0.71354,1.09673,0.98425,1.23461,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,14472.3,1.13125,1.21014,1.40098,0.90656,0.8726,0.89722,0.71406,1.08699,0.97103,1.22409,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,15067,1.11919,1.19765,1.3957,0.90834,0.87967,0.90169,0.7232,1.07451,0.95915,1.21523,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,15653.2,1.12429,1.19805,1.39486,0.90985,0.88289,0.90418,0.72839,1.07164,0.94989,1.21309,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,16307,1.12313,1.18983,1.39529,0.91315,0.87983,0.90599,0.72939,1.06709,0.94566,1.20955,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,16966.7,1.11449,1.18565,1.39206,0.91364,0.88158,0.90782,0.73581,1.05986,0.93846,1.20736,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,17624.7,1.11174,1.17702,1.38587,0.91539,0.88619,0.9099,0.73423,1.05786,0.92789,1.20366,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,18284.9,1.10994,1.17062,1.38508,0.91556,0.88709,0.91142,0.73697,1.05499,0.92127,1.20049,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
